gtdb_accession	ncbi_accession	gcf_accession	checkm2_completeness	checkm2_contamination	contig_count	n50_contigs	longest_contig	genome_size	domain	phylum	gtdb_taxonomy	fasta_path	download_dir	family	feature_domain
RS_GCF_037116885.1	GCA_037116885.1	GCF_037116885.1	100.0	0.0	88	99428	204402	4359348	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	/home/tianrm/projects/magicc2/data/genomes/GCF_037116885.1/GCF_037116885.1_ASM3711688v1_genomic.fna	GCF_037116885.1	Aeromonadaceae	bacterial
RS_GCF_013375975.1	GCA_013375975.1	GCF_013375975.1	100.0	0.03	1	4875486	4875486	4875486	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii	/home/tianrm/projects/magicc2/data/genomes/GCF_013375975.1/GCF_013375975.1_ASM1337597v1_genomic.fna	GCF_013375975.1	Enterobacteriaceae	bacterial
RS_GCF_004342955.1	GCA_004342955.1	GCF_004342955.1	99.96	0.0	29	539936	1261509	5244952	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio crassostreae	/home/tianrm/projects/magicc2/data/genomes/GCF_004342955.1/GCF_004342955.1_ASM434295v1_genomic.fna	GCF_004342955.1	Vibrionaceae	bacterial
RS_GCF_041727235.1	GCA_041727235.1	GCF_041727235.1	100.0	1.2	64	182399	383846	4891589	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_041727235.1/GCF_041727235.1_ASM4172723v1_genomic.fna	GCF_041727235.1	Enterobacteriaceae	bacterial
RS_GCF_001970095.1	GCA_001970095.1	GCF_001970095.1	100.0	0.24	81	291403	674992	5191535	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_001970095.1/GCF_001970095.1_ASM197009v1_genomic.fna	GCF_001970095.1	Enterobacteriaceae	bacterial
RS_GCF_020168725.1	GCA_020168725.1	GCF_020168725.1	100.0	0.35	94	188557	518291	4828086	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	/home/tianrm/projects/magicc2/data/genomes/GCF_020168725.1/GCF_020168725.1_ASM2016872v1_genomic.fna	GCF_020168725.1	Enterobacteriaceae	bacterial
RS_GCF_003448395.1	GCA_003448395.1	GCF_003448395.1	100.0	0.05	78	106071	313148	4395157	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella bongori	/home/tianrm/projects/magicc2/data/genomes/GCF_003448395.1/GCF_003448395.1_ASM344839v1_genomic.fna	GCF_003448395.1	Enterobacteriaceae	bacterial
RS_GCF_001576595.1	GCA_001576595.1	GCF_001576595.1	100.0	0.03	8	3188042	3188042	4666565	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter_A;s__Cereibacter_A sphaeroides	/home/tianrm/projects/magicc2/data/genomes/GCF_001576595.1/GCF_001576595.1_ASM157659v1_genomic.fna	GCF_001576595.1	Rhodobacteraceae	bacterial
RS_GCF_900511325.1	GCA_900511325.1	GCF_900511325.1	100.0	0.73	86	214626	668356	5816578	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	/home/tianrm/projects/magicc2/data/genomes/GCF_900511325.1/GCF_900511325.1_17870_4_14_genomic.fna	GCF_900511325.1	Enterobacteriaceae	bacterial
RS_GCF_039649755.1	GCA_039649755.1	GCF_039649755.1	100.0	0.7	85	191950	449620	5563086	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	/home/tianrm/projects/magicc2/data/genomes/GCF_039649755.1/GCF_039649755.1_ASM3964975v1_genomic.fna	GCF_039649755.1	Enterobacteriaceae	bacterial
RS_GCF_006385875.1	GCA_006385875.1	GCF_006385875.1	99.42	0.15	34	201322	480148	3650352	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sandaracinobacteroides;s__Sandaracinobacteroides neustonicus	/home/tianrm/projects/magicc2/data/genomes/GCF_006385875.1/GCF_006385875.1_ASM638587v1_genomic.fna	GCF_006385875.1	Sphingomonadaceae	bacterial
RS_GCF_041359615.1	GCA_041359615.1	GCF_041359615.1	100.0	0.24	21	299928	619625	3921712	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus;s__Proteus vulgaris_B	/home/tianrm/projects/magicc2/data/genomes/GCF_041359615.1/GCF_041359615.1_ASM4135961v1_genomic.fna	GCF_041359615.1	Enterobacteriaceae	bacterial
GB_GCA_041879395.1	GCA_041879395.1		100.0	0.0	2	3302041	3302041	5103764	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio cyclitrophicus	/home/tianrm/projects/magicc2/data/genomes/GCA_041879395.1/GCA_041879395.1_ASM4187939v1_genomic.fna	GCA_041879395.1	Vibrionaceae	bacterial
RS_GCF_004121635.1	GCA_004121635.1	GCF_004121635.1	100.0	0.21	41	401694	821590	4868949	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCF_004121635.1/GCF_004121635.1_ASM412163v1_genomic.fna	GCF_004121635.1	Enterobacteriaceae	bacterial
GB_GCA_001241615.1	GCA_001241615.1		100.0	0.18	88	116766	262313	4925731	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	/home/tianrm/projects/magicc2/data/genomes/GCA_001241615.1/GCA_001241615.1_10425_1_29_genomic.fna	GCA_001241615.1	Enterobacteriaceae	bacterial
GB_GCA_900466505.1	GCA_900466505.1		100.0	0.34	25	386488	861352	5724984	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium tumefaciens_J	/home/tianrm/projects/magicc2/data/genomes/GCA_900466505.1/GCA_900466505.1_AFS010133_genomic.fna	GCA_900466505.1	Rhizobiaceae	bacterial
RS_GCF_900502965.1	GCA_900502965.1	GCF_900502965.1	100.0	0.2	82	315561	854475	5469807	Bacteria	Pseudomonadota	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	/home/tianrm/projects/magicc2/data/genomes/GCF_900502965.1/GCF_900502965.1_18623_5_62_genomic.fna	GCF_900502965.1	Enterobacteriaceae	bacterial
