dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	MAGICC V5	93	18	accession	92.542	0.2817	3.9552	[2.6956, 5.2865]	2.7746	[0.8074, 4.6314]	0.7331	0.866	[0.4418, 1.3409]	0.6919	[0.2245, 1.1898]	-11.4662	73	79	91.4	1.08
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	CheckM2 1.0.1	93	18	accession	92.542	0.2817	4.5338	[3.1893, 6.138]	-2.1824	[-4.6007, -0.0177]	0.5797	2.4782	[1.7305, 3.2614]	2.4616	[1.7097, 3.2495]	-47.01	73	61	78.49	19.35
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	CoCoPyE 0.5.0	93	18	accession	92.542	0.2817	4.2185	[2.7305, 5.9553]	4.1103	[2.5903, 5.8582]	0.6145	8.1974	[5.1715, 11.5311]	8.1667	[5.1505, 11.4878]	-669.7314	73	55	58.06	40.86
Meslier MOCK1 (leakage-free, >=50 %, ORF-intact assemblies)	meslier	primary_leakage_free_comp>=50_ORF_intact	DeepCheck	93	18	accession	92.542	0.2817	5.6574	[3.5243, 8.2106]	-4.7725	[-7.6919, -2.2079]	0.255	1.6843	[1.1243, 2.3044]	1.5588	[0.9468, 2.226]	-25.2613	73	59	78.49	11.83
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	MAGICC V5	108	18	accession	93.207	0.2797	4.1955	[3.0508, 5.4291]	1.9603	[-0.2775, 3.8979]	0.6538	0.8793	[0.465, 1.3233]	0.6912	[0.2255, 1.181]	-10.4243	87	90	89.81	1.85
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	CheckM2 1.0.1	108	18	accession	93.207	0.2797	11.0068	[9.2807, 12.9716]	-8.9819	[-11.584, -6.5599]	-3.3367	2.6346	[1.9963, 3.3101]	2.6202	[1.978, 3.3005]	-43.941	87	61	68.52	21.3
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	CoCoPyE 0.5.0	108	18	accession	93.207	0.2797	3.9393	[2.5859, 5.502]	3.3524	[2.0723, 4.8237]	0.6336	10.0745	[7.5058, 12.8157]	10.0481	[7.4797, 12.7809]	-743.9852	87	55	50.0	49.07
Meslier MOCK1 (leakage-free, >=50 %, all 7 assemblies)	meslier	primary_leakage_free_comp>=50	DeepCheck	108	18	accession	93.207	0.2797	13.2537	[10.7154, 16.0897]	-12.4917	[-15.6019, -9.6636]	-4.9558	1.8629	[1.4322, 2.3328]	1.7187	[1.2188, 2.2597]	-25.3208	87	59	67.59	13.89
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	MAGICC V5	39	39	accession	93.688	0.3052	4.9048	[2.8494, 7.4549]	-2.9204	[-5.7781, -0.5916]	0.4043	1.5719	[0.7579, 2.5755]	1.3396	[0.4932, 2.3813]	-8.6885	31	28	87.18	13.16
Meslier MOCK1 (indel-dense MinION assembly only)	meslier	ORF_compromised_assembly_only	CheckM2 1.0.1	39	39	accession	93.688	0.3052	50.6879	[45.5215, 55.3439]	-50.6879	[-55.3439, -45.5215]	-20.6924	3.4504	[2.8736, 4.0496]	3.4122	[2.8092, 4.0299]	-13.375	31	0	5.13	21.05
