set	set_label	status	tier	subset	tool	tool_label	tool_role	metric	n	n_clusters	clustered_bootstrap	true_value_variance	true_value_constant	mae	mae_ci_lo	mae_ci_hi	bias	bias_ci_lo	bias_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	True	288.1683701525816	False	2.1766318366134065	1.9226652813792864	2.440739538878147	0.0922186901372748	-0.2065281099446355	0.3693224599086236	4.265459274526059	3.612153821257144	4.893917798646191	0.9368628041550612	0.9162165456450628	0.9550319500729384	0.9369097873360442	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	True	288.1683701525816	False	2.5423106509718054	2.3638604606887923	2.716184293983591	1.2338306271372748	0.9855125841842688	1.4645323605118912	3.836799863069146	3.5619717220681566	4.112122223762957	0.9489151665692774	0.9406258375459654	0.9566499394685576	0.954204221207798	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	True	288.1683701525816	False	3.626543119935133	3.3408707121837597	3.9013897186304014	1.5985225375141008	1.2670963245763214	1.91879776640499	5.476054680966631	5.031757992830724	5.94011591467038	0.8959387012077047	0.8772461632446922	0.9122448972519998	0.9085106847176116	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	DeepCheck	competitor	completeness	1000	798	True	288.1683701525816	False	4.255472477276518	3.9732607460456095	4.548460711363844	1.4648283920298533	1.085754004017448	1.8462991130421869	6.229719890580933	5.768829672995225	6.699745356115274	0.8653238386483895	0.8436202611532347	0.8850239469273306	0.8735672962805364	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	True	0.0	True	0.8285294344272	0.6338994980339268	1.0543609073270737	0.8285294344272	0.6338994980339268	1.0543609073270737	3.01249322423102	1.792194200731423	4.067382501049166					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	True	0.0	True	0.27387	0.2493069779116465	0.2986854843679631	0.27387	0.2493069779116465	0.2986854843679631	0.4403654164441163	0.4006670925019201	0.4821321601752102					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	CoCoPyE 0.5.0	competitor	contamination	1000	798	True	0.0	True	0.7744793874790756	0.5982736821341545	0.9697508785632916	0.7744793874790756	0.5982736821341545	0.9697508785632916	2.8670595482195016	2.2171511661005465	3.446890114230724					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	DeepCheck	competitor	contamination	1000	798	True	0.0	True	0.404035914644599	0.3718927465189613	0.4370431453405503	0.2865536159723997	0.2482140746352187	0.3254145874184058	0.6315151025352045	0.5836207499160528	0.675744306942002					R^2 omitted: the true contamination is constant at 0% for all 1000 genomes, so the total sum of squares is zero and no fraction of variance can be explained. MAE / RMSE / mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	True	288.1683701525816	False	2.1766318366134065	1.93753718324917	2.4483044195231742	0.0922186901372748	-0.2092009130868488	0.3902763659227453	4.265459274526059	3.62908155664016	4.939280963580978	0.9368628041550612	0.9151692786058414	0.9544990062146116	0.9369097873360442	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	True	288.1683701525816	False	2.5423106509718054	2.367371537570277	2.7306030423203875	1.2338306271372748	1.0224105583617156	1.4565943982528808	3.836799863069146	3.567803798981113	4.119271948068806	0.9489151665692774	0.9404437070373304	0.9564009425049456	0.954204221207798	
