comparator	error_type	error_rate	error_rate_pct	metric	n_pairs	mae_magicc	mae_comparator	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	winner	q_bh
checkm2	substitution	0.001	0.1	completeness	80	4.3669	5.1518	-0.7849	-2.4896	0.9815	-0.7256	-1.9222	0.3	-0.16	-0.305	-0.0015	0.2249537465429784	tie	0.28168121306251204
checkm2	substitution	0.001	0.1	contamination	80	2.7632	4.3082	-1.5451	-2.8082	-0.3009	-0.6818	-1.7199	-0.0304	-0.1369	-0.29	0.0131	0.04198934158904833	MAGICC	0.060464651888229595
checkm2	substitution	0.005	0.5	completeness	80	4.4721	6.5302	-2.0581	-3.8483	-0.136	-2.0641	-3.821	-0.6254	-0.3281	-0.4822	-0.1606	0.003944472340244279	MAGICC	0.007376675545391899
checkm2	substitution	0.005	0.5	contamination	80	2.9214	4.0857	-1.1643	-2.3885	-0.0079	-0.4902	-1.1917	0.1034	-0.1156	-0.2494	0.0216	0.1236558882307725	MAGICC	0.16487451764103
checkm2	substitution	0.01	1.0	completeness	80	4.8777	8.7347	-3.857	-5.5674	-2.0197	-4.4288	-5.9126	-2.7975	-0.5059	-0.645	-0.3644	4.639670635748173e-06	MAGICC	1.553750166390086e-05
checkm2	substitution	0.01	1.0	contamination	80	3.3383	4.3816	-1.0433	-2.2828	0.2509	-0.7456	-1.6199	0.0057	-0.1978	-0.3431	-0.0506	0.0550457575812433	tie	0.07771165776175525
checkm2	substitution	0.02	2.0	completeness	80	6.9084	14.5404	-7.632	-10.1035	-5.0467	-7.7908	-9.9473	-5.547	-0.5441	-0.6894	-0.3891	2.0039949564432613e-08	MAGICC	8.245007820795133e-08
checkm2	substitution	0.02	2.0	contamination	80	4.6783	4.4745	0.2039	-1.1859	1.6426	0.0811	-0.8063	1.0875	0.0172	-0.1338	0.1669	0.900758312562241	tie	0.9199233830422888
checkm2	substitution	0.05	5.0	completeness	80	12.1845	31.0668	-18.8823	-21.657	-16.0692	-19.0267	-21.6848	-16.3895	-0.7837	-0.8759	-0.6834	1.509910709731591e-13	MAGICC	1.5530510157239222e-12
checkm2	substitution	0.05	5.0	contamination	80	7.878	4.9435	2.9346	1.1121	4.7781	2.5358	0.9261	4.33	0.3119	0.1456	0.4722	0.001547902971751277	checkm2	0.0034292004297259058
checkm2	substitution_titv	0.001	0.1	completeness	80	4.3639	5.3308	-0.9668	-2.7138	0.82	-0.9559	-2.4182	0.2475	-0.195	-0.3538	-0.0334	0.12133346609951474	tie	0.16328989830215068
checkm2	substitution_titv	0.001	0.1	contamination	80	2.7646	4.2126	-1.448	-2.7416	-0.2108	-0.5008	-1.6405	0.1326	-0.0706	-0.2284	0.0797	0.1284046874965056	MAGICC	0.16963555045409917
checkm2	substitution_titv	0.005	0.5	completeness	80	4.4548	5.5562	-1.1013	-2.786	0.6927	-1.1708	-2.8883	0.1454	-0.1972	-0.3569	-0.0378	0.0895293431351556	tie	0.12396370587944622
checkm2	substitution_titv	0.005	0.5	contamination	80	3.1288	4.1886	-1.0599	-2.3848	0.2628	-0.4054	-1.2582	0.0622	-0.1216	-0.2653	0.0213	0.09605016433257436	tie	0.131725939656102
checkm2	substitution_titv	0.01	1.0	completeness	80	5.039	7.0925	-2.0535	-3.7995	-0.1437	-2.6466	-4.2557	-1.0184	-0.3259	-0.4944	-0.1506	0.0023218382737040626	MAGICC	0.004709080442442042
checkm2	substitution_titv	0.01	1.0	contamination	80	3.2806	4.2474	-0.9669	-2.3105	0.289	-0.41	-1.3503	0.2982	-0.05	-0.215	0.1104	0.3521227619812781	tie	0.42254731437753373
checkm2	substitution_titv	0.02	2.0	completeness	80	6.7038	11.4707	-4.767	-6.8559	-2.638	-5.2099	-7.1662	-3.2668	-0.4547	-0.6013	-0.2984	5.570084436155285e-06	MAGICC	1.8229367245599112e-05
checkm2	substitution_titv	0.02	2.0	contamination	80	4.4807	4.6486	-0.1679	-1.5322	1.3406	-0.031	-0.9869	1.07	-0.0325	-0.1919	0.1297	0.9617458324476099	tie	0.9684713277794113
checkm2	substitution_titv	0.05	5.0	completeness	80	11.7631	23.8967	-12.1335	-14.7958	-9.4587	-12.3649	-15.0252	-9.7119	-0.5741	-0.701	-0.4384	6.262281290493262e-11	MAGICC	3.468340407042422e-10
