tool	arm	criterion	tau	n	n_true_pass	n_true_fail	n_false_fail	n_false_pass	false_fail_rate	false_fail_ci_lo	false_fail_ci_hi	false_pass_rate	false_pass_ci_lo	false_pass_ci_hi	balanced_accuracy	bal_acc_ci_lo	bal_acc_ci_hi
magicc_v5	H_pass	contamination	5.0	2000	96	1904	12	22	0.125	0.0575	0.2018	0.0116	0.0068	0.0168	0.9317	0.8934	0.9654
magicc_v5	H_pass	contamination	10.0	2000	193	1807	23	22	0.1192	0.071	0.169	0.0122	0.0071	0.0183	0.9343	0.9095	0.9582
magicc_v5	H_pass	completeness	50.0	2000	2000	0	0	0	0.0	0.0	0.0				1.0	1.0	1.0
magicc_v5	H_pass	completeness	90.0	2000	324	1676	32	219	0.0988	0.0643	0.1392	0.1307	0.1122	0.1506	0.8853	0.8635	0.9043
magicc_v5	H_fail	contamination	5.0	2000	98	1902	13	24	0.1327	0.061	0.2111	0.0126	0.0074	0.0183	0.9274	0.8876	0.963
magicc_v5	H_fail	contamination	10.0	2000	201	1799	34	31	0.1692	0.1132	0.2293	0.0172	0.0111	0.0235	0.9068	0.8768	0.935
magicc_v5	H_fail	completeness	50.0	2000	2000	0	0	0	0.0	0.0	0.0				1.0	1.0	1.0
magicc_v5	H_fail	completeness	90.0	2000	317	1683	53	246	0.1672	0.114	0.2226	0.1462	0.12	0.1737	0.8433	0.8148	0.8728
checkm2	H_pass	contamination	5.0	2000	96	1904	9	233	0.0938	0.0417	0.1529	0.1224	0.1019	0.1455	0.8919	0.8613	0.9204
checkm2	H_pass	contamination	10.0	2000	193	1807	6	426	0.0311	0.0059	0.0603	0.2357	0.2018	0.2715	0.8666	0.8445	0.8859
checkm2	H_pass	completeness	50.0	2000	2000	0	7	0	0.0035	0.001	0.0065				0.9965	0.9935	0.999
checkm2	H_pass	completeness	90.0	2000	324	1676	19	811	0.0586	0.0328	0.085	0.4839	0.4482	0.5192	0.7287	0.7094	0.7487
checkm2	H_fail	contamination	5.0	2000	98	1902	26	186	0.2653	0.1743	0.3664	0.0978	0.0769	0.1213	0.8185	0.7688	0.8642
checkm2	H_fail	contamination	10.0	2000	201	1799	16	368	0.0796	0.0424	0.118	0.2046	0.1724	0.2388	0.8579	0.8342	0.8805
checkm2	H_fail	completeness	50.0	2000	2000	0	24	0	0.012	0.0065	0.018				0.988	0.982	0.9935
checkm2	H_fail	completeness	90.0	2000	317	1683	66	723	0.2082	0.1562	0.2601	0.4296	0.3913	0.4675	0.6811	0.6513	0.7108
cocopye	H_pass	contamination	5.0	2000	96	1904	18	40	0.1875	0.1096	0.2683	0.021	0.0142	0.0283	0.8957	0.8553	0.9347
cocopye	H_pass	contamination	10.0	2000	193	1807	34	49	0.1762	0.118	0.2402	0.0271	0.0192	0.0353	0.8984	0.8665	0.9274
cocopye	H_pass	completeness	50.0	2000	2000	0	21	0	0.0105	0.006	0.0155				0.9895	0.9845	0.994
cocopye	H_pass	completeness	90.0	2000	324	1676	27	325	0.0833	0.043	0.1303	0.1939	0.173	0.2169	0.8614	0.8367	0.8827
cocopye	H_fail	contamination	5.0	2000	98	1902	56	19	0.5714	0.4659	0.6771	0.01	0.0058	0.0148	0.7093	0.6565	0.7614
cocopye	H_fail	contamination	10.0	2000	201	1799	104	34	0.5174	0.4336	0.6029	0.0189	0.0127	0.0258	0.7318	0.6899	0.7729
cocopye	H_fail	completeness	50.0	2000	2000	0	17	0	0.0085	0.004	0.014				0.9915	0.986	0.996
cocopye	H_fail	completeness	90.0	2000	317	1683	44	319	0.1388	0.0751	0.2053	0.1895	0.167	0.2128	0.8358	0.8017	0.868
deepcheck	H_pass	contamination	5.0	2000	96	1904	0	447	0.0	0.0	0.0	0.2348	0.2059	0.2637	0.8826	0.8681	0.8971
deepcheck	H_pass	contamination	10.0	2000	193	1807	0	808	0.0	0.0	0.0	0.4471	0.4087	0.4853	0.7764	0.7574	0.7957
deepcheck	H_pass	completeness	50.0	2000	2000	0	12	0	0.006	0.0025	0.0095				0.994	0.9905	0.9975
deepcheck	H_pass	completeness	90.0	2000	324	1676	11	796	0.034	0.0132	0.0562	0.4749	0.4368	0.5115	0.7456	0.7256	0.7668
deepcheck	H_fail	contamination	5.0	2000	98	1902	15	378	0.1531	0.0777	0.2381	0.1987	0.1701	0.2265	0.8241	0.7807	0.863
deepcheck	H_fail	contamination	10.0	2000	201	1799	4	759	0.0199	0.0	0.0531	0.4219	0.3871	0.4606	0.7791	0.7561	0.8003
deepcheck	H_fail	completeness	50.0	2000	2000	0	26	0	0.013	0.007	0.0205				0.987	0.9795	0.993
deepcheck	H_fail	completeness	90.0	2000	317	1683	60	666	0.1893	0.1379	0.2459	0.3957	0.357	0.4354	0.7075	0.678	0.7359
