tool_a	tool_b	metric	n_paired_samples	n_pairs	D_tool_a	D_tool_b	DiD	ci_lo	ci_hi	p_two_sided	metric_name	statistic	q_bh	significant_bh_0.05
magicc_v5	checkm2	abs_err_completeness	2000	200	0.7681	0.057	0.7111	0.0785	1.3686	0.0239880059970015	completeness	abs_error	0.05757121439280359	False
magicc_v5	checkm2	err_completeness	2000	200	-0.028	-2.1811	2.1531	1.3523	3.041	0.0009995002498750624	completeness	signed_error	0.00399800099950025	True
magicc_v5	checkm2	abs_err_contamination	2000	200	0.8224	0.2183	0.6041	-0.2068	1.4748	0.16491754122938532	contamination	abs_error	0.247376311844078	False
magicc_v5	checkm2	err_contamination	2000	200	0.3887	0.1437	0.2449	-0.6252	1.1202	0.5817091454272864	contamination	signed_error	0.6345917950115851	False
magicc_v5	cocopye	abs_err_completeness	2000	200	0.7681	0.6506	0.1175	-0.3904	0.6619	0.6456771614192903	completeness	abs_error	0.6456771614192903	False
magicc_v5	cocopye	err_completeness	2000	200	-0.028	-0.3037	0.2758	-0.4213	0.9894	0.4267866066966517	completeness	signed_error	0.5690488089288689	False
magicc_v5	cocopye	abs_err_contamination	2000	200	0.8224	0.315	0.5074	-0.116	1.1719	0.11094452773613193	contamination	abs_error	0.2158920539730135	False
magicc_v5	cocopye	err_contamination	2000	200	0.3887	1.8458	-1.4572	-2.3776	-0.5013	0.005997001499250375	contamination	signed_error	0.017991004497751123	True
magicc_v5	deepcheck	abs_err_completeness	2000	200	0.7681	-0.8371	1.6052	0.9529	2.2922	0.0009995002498750624	completeness	abs_error	0.00399800099950025	True
magicc_v5	deepcheck	err_completeness	2000	200	-0.028	-3.2903	3.2623	2.3533	4.2767	0.0009995002498750624	completeness	signed_error	0.00399800099950025	True
magicc_v5	deepcheck	abs_err_contamination	2000	200	0.8224	0.4839	0.3385	-0.7977	1.4314	0.5667166416791605	contamination	abs_error	0.6345917950115851	False
magicc_v5	deepcheck	err_contamination	2000	200	0.3887	1.504	-1.1153	-2.5922	0.3087	0.12593703148425786	contamination	signed_error	0.2158920539730135	False
